MyIndex,code,Latitude,Longitude,state
0,PY,10.91564885,79.8069488,Puducherry
1,TN,10.9094334,78.3665347,Tamil Nadu
2,UP,27.1303344,80.859666,Uttar Pradesh
3,MP,23.8143419,77.5340719,Madhya Pradesh
4,AD,15.9240905,80.1863809,Andhra Pradesh
5,TR,23.7750823,91.7025091,Tripura
6,LD,10.8132489,73.68046209,Lakshadweep
7,MN,24.7208818,93.9229386,Manipur
8,MH,18.9068356,75.6741579,Maharashtra
9,DNHDD,20.71817495,70.93238341,Dadra and Nagar Haveli and Daman and Diu
10,ML,25.5379432,91.2999102,Meghalaya
11,AN,10.0001051,93.0000194,Andaman & Nicobar
12,HR,29,76,Haryana
13,RJ,26.8105777,73.7684549,Rajasthan
14,LA,33.9456407,77.6568576,Ladakh
15,PB,30.9293211,75.5004841,Punjab
16,AS,26.4073841,93.2551303,Assam
17,JH,23.4559809,85.2557301,Jharkhand
18,OD,20.5431241,84.6897321,Odisha
19,BR,25.6440845,85.906508,Bihar
20,KL,10.3528744,76.5120396,Kerala
21,KA,14.5203896,75.7223521,Karnataka
22,CH,30.72984395,76.78414567,Chandigarh
23,TS,17.8495919,79.1151663,Telangana
24,HP,31.81676015,77.34932052,Himachal Pradesh
25,WB,22.9964948,87.6855882,West Bengal
26,GJ,22.3850051,71.745261,Gujarat
27,SK,27.601029,88.45413639,Sikkim
28,NL,26.1630556,94.5884911,Nagaland
29,MZ,23.2146169,92.8687612,Mizoram
30,CG,21.6637359,81.8406351,Chhattisgarh
31,JK,32.7185614,74.8580917,Jammu & Kashmir
32,GA,15.3004543,74.0855134,Goa
33,AR,28.0937702,94.5921326,Arunachal Pradesh
34,DL,28.6517178,77.2219388,Delhi
35,UK,30.0417376,79.089691,Uttarakhand
